tissue,trajectory_group,count,freq,day
ea,1,1,1.2987012987012987,1
ea,2,4,5.194805194805195,1
ea,3,1,1.2987012987012987,1
ea,4,51,66.23376623376623,1
ea,5,20,25.97402597402597,1
ea,1,1,1.0638297872340425,2
ea,2,4,4.25531914893617,2
ea,3,1,1.0638297872340425,2
ea,4,64,68.08510638297872,2
ea,5,24,25.53191489361702,2
ea,1,1,0.847457627118644,3
ea,2,5,4.23728813559322,3
ea,3,1,0.847457627118644,3
ea,4,78,66.10169491525424,3
ea,5,33,27.966101694915253,3
ea,2,5,4.201680672268908,4
ea,4,78,65.54621848739495,4
ea,5,36,30.252100840336134,4
ea,2,4,3.6363636363636362,5
ea,4,74,67.27272727272727,5
ea,5,32,29.09090909090909,5
ea,2,3,2.380952380952381,6
ea,4,89,70.63492063492063,6
ea,5,34,26.984126984126984,6
ea,2,3,2.272727272727273,7
ea,3,1,0.7575757575757576,7
ea,4,89,67.42424242424242,7
ea,5,39,29.545454545454547,7
ea,2,2,1.8018018018018018,8
ea,3,1,0.9009009009009009,8
ea,4,76,68.46846846846847,8
ea,5,32,28.82882882882883,8
ea,2,1,1.1494252873563218,9
ea,3,1,1.1494252873563218,9
ea,4,59,67.81609195402298,9
ea,5,26,29.88505747126437,9
ea,3,1,1.5151515151515151,10
ea,4,42,63.63636363636363,10
ea,5,23,34.84848484848485,10
ea,3,1,2.3255813953488373,11
ea,4,22,51.162790697674424,11
ea,5,20,46.51162790697674,11
ea,4,22,53.65853658536586,12
ea,5,19,46.34146341463415,12
ea,4,33,62.264150943396224,13
ea,5,20,37.735849056603776,13
ea,4,36,62.06896551724138,14
ea,5,22,37.93103448275862,14
ea,4,39,66.10169491525424,15
ea,5,20,33.89830508474576,15
ea,4,39,69.64285714285714,16
ea,5,17,30.357142857142854,16
ea,4,27,75,17
ea,5,9,25,17
ea,4,11,68.75,18
ea,5,5,31.25,18
ea,4,17,80.95238095238095,19
ea,5,4,19.047619047619047,19
ea,4,18,81.81818181818183,20
ea,5,4,18.181818181818183,20
ea,4,24,80,21
ea,5,6,20,21
ea,4,26,78.78787878787878,22
ea,5,7,21.21212121212121,22
ea,4,28,80,23
ea,5,7,20,23
ea,4,19,82.6086956521739,24
ea,5,4,17.391304347826086,24
ea,4,14,82.35294117647058,25
ea,5,3,17.647058823529413,25
ea,4,11,84.61538461538461,26
ea,5,2,15.384615384615385,26
ea,4,13,92.85714285714286,27
ea,5,1,7.142857142857142,27
ea,4,17,94.44444444444444,28
ea,5,1,5.555555555555555,28
ea,4,18,94.73684210526315,29
ea,5,1,5.263157894736842,29
ea,4,19,95,30
ea,5,1,5,30
ea,4,14,100,31
ea,4,9,100,32
ea,4,3,100,33
ea,4,1,100,34
