term,npar,AIC,LRT,Pr(Chi),virus,feature,coef_virus,direction,log10p,signedlog10p,Label,panel
binary,1,445.310513324842,3.25585007082896,0.1563701132477977,Anelloviridae.pbmc,comorb_isaric_liver,0.603489223875815,1,0.8058462493060541,0.8058462493060541,Liver Disease,Complications & Comorbidities
binary,1,383.119874143079,22.9661921430434,1.3849548143716573e-5,Anelloviridae.pbmc,comorb_hxtrans,1.60642776355946,1,4.8585643956891875,4.8585643956891875,Organ/BM Transplant,Complications & Comorbidities
binary,1,573.531376348885,0.0159477163388146,0.899506908892044,Anelloviridae.pbmc,comorb_anysubstance,0.0416059672224537,1,0.045995496596175564,0.045995496596175564,Substance Use,Complications & Comorbidities
binary,1,828.743713378338,7.606309745663,0.02326575959646728,Anelloviridae.pbmc,ever_icu,0.660685839193744,1,1.6332827637553027,1.6332827637553027,ICU,Clinical Event
binary,1,1369.81006577407,1.02505467835294,0.4508816128961398,Anelloviridae.pbmc,ever_remdes,-0.185137736169269,-1,0.3459374750073936,-0.3459374750073936,Remdesivir,Medication
binary,1,1108.70927060214,0.0191210604430125,0.899506908892044,Anelloviridae.pbmc,ever_steroids,-0.0293086655421329,-1,0.045995496596175564,-0.045995496596175564,Steroids,Medication
binary,1,1292.41241518267,0.264475321382633,0.6709633577310301,Anelloviridae.pbmc,ever_azithro,0.0955815644335039,1,0.17330119662644844,0.17330119662644844,Azithromycin,Medication
binary,1,472.940413877535,0.851506423726732,0.48358570218637986,Anelloviridae.pbmc,ever_conplas,-0.341855334977322,-1,0.3155265480787447,-0.3155265480787447,Conv Plasma,Medication
binary,1,470.613547317242,25.9158874112341,3.744530438833327e-6,Anelloviridae.pbmc,ever_immsupp,1.51108342181996,1,5.426602634736013,5.426602634736013,Immunosupressed,Medication
binary,1,788.546803662109,1.47521880764646,0.37990696857021033,Anelloviridae.pbmc,ncomp,0.348466437905388,1,0.42032274018091415,0.42032274018091415,Number of Complications,Clinical Event
binary,1,189.631897668847,2.82184291349094,0.18165406428533926,Anelloviridae.pbmc,comp_stroke,0.853714702571963,1,0.7407548808899005,0.7407548808899005,Stroke,Complications & Comorbidities
