"","n","statistic","p","df","method","p.signif","name","p.adj","p.adj.signif","group1","group2",".y."
"1",1102,0.293930492476373,0.588,1,"Chi-square test","ns","Anelloviridae.pbmc",0.924,"ns","Steroids","No Steroids","ever_steroids"
"2",1030,0.823125948473814,0.364,1,"Chi-square test","ns","Enterovirus.nasal",0.920333333333333,"ns","Steroids","No Steroids","ever_steroids"
"3",157,0.170598145635458,0.68,1,"Chi-square test","ns","Human alphaherpesvirus 1 (HSV1).ea",0.935,"ns","Steroids","No Steroids","ever_steroids"
"4",1019,1.68476183347939,0.194,1,"Chi-square test","ns","Human alphaherpesvirus 1 (HSV1).nasal",0.905666666666667,"ns","Steroids","No Steroids","ever_steroids"
"5",1029,0.63133341407438,0.427,1,"Chi-square test","ns","Human alphaherpesvirus 2 (HSV2).nasal",0.920333333333333,"ns","Steroids","No Steroids","ever_steroids"
"6",157,2.70929967280432e-29,1,1,"Chi-square test","ns","Human betaherpesvirus 5 (CMV).ea",1,"ns","Steroids","No Steroids","ever_steroids"
"7",1030,2.37406346599942e-29,1,1,"Chi-square test","ns","Human betaherpesvirus 5 (CMV).nasal",1,"ns","Steroids","No Steroids","ever_steroids"
"8",1102,1.33804149476067,0.247,1,"Chi-square test","ns","Human betaherpesvirus 5 (CMV).pbmc",0.905666666666667,"ns","Steroids","No Steroids","ever_steroids"
"9",157,0.00139067092678548,0.97,1,"Chi-square test","ns","Human gammaherpesvirus 4 (EBV).ea",1,"ns","Steroids","No Steroids","ever_steroids"
"10",1030,0.450180906061541,0.502,1,"Chi-square test","ns","Human gammaherpesvirus 4 (EBV).nasal",0.920333333333333,"ns","Steroids","No Steroids","ever_steroids"
"11",1102,4.11466998607054,0.0425,1,"Chi-square test","*","Human gammaherpesvirus 4 (EBV).pbmc",0.4675,"ns","Steroids","No Steroids","ever_steroids"
