trajectory_group,name,diedever,mean,count,positive,.group
4,Anelloviridae.pbmc,Survived,25.806451612903224,186,48,1
4,Anelloviridae.pbmc,Died,40,35,14,1
4,Enterovirus.nasal,Survived,4.761904761904762,168,8,8
4,Enterovirus.nasal,Died,11.76470588235294,34,3.9999999999999996,8
4,HSV1.ea,Survived,40,80,32,9
4,HSV1.ea,Died,34.78260869565217,23,8,9
4,HSV1.nasal,Survived,15.66265060240964,166,26,10
4,HSV1.nasal,Died,41.17647058823529,34,13.999999999999998,10
4,HSV2.nasal,Survived,0,168,0,11
4,HSV2.nasal,Died,2.941176470588235,34,0.9999999999999999,11
4,CMV.ea,Survived,5,80,4,2
4,CMV.ea,Died,30.434782608695656,23,7.000000000000001,2
4,CMV.nasal,Survived,2.380952380952381,168,4,3
4,CMV.nasal,Died,20.588235294117645,34,6.999999999999999,3
4,CMV.pbmc,Survived,7.526881720430108,186,14,4
4,CMV.pbmc,Died,25.71428571428571,35,8.999999999999998,4
4,EBV.ea,Survived,3.75,80,3,5
4,EBV.ea,Died,17.391304347826086,23,4,5
4,EBV.nasal,Survived,11.904761904761903,168,19.999999999999996,6
4,EBV.nasal,Died,32.35294117647059,34,11,6
4,EBV.pbmc,Survived,36.02150537634409,186,67,7
4,EBV.pbmc,Died,54.285714285714285,35,19,7
