"","variable","numDF","denDF","F-value","p-value","feature","omic","virus","level","coefficient","p.adj"
"1","(Intercept)",1,3168,0.324765629911227,0.568798061843092,"B Cell (CD11c+ CXCR5-)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.187379110111134,0.763386872473623
"2","trajectory_group",1,3168,5.82441863258255,0.015861594054309,"B Cell (CD11c+ CXCR5-)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.042046521212814,0.0425758577247241
"3","sex",1,3168,0.0469981204211978,0.828385575766029,"B Cell (CD11c+ CXCR5-)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.874456238454451
"4","discretized_admit_age_quantile",4,3168,15.2614394967644,2.29505303650512e-12,"B Cell (CD11c+ CXCR5-)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,1.46309631077202e-11
"5","virus_positive",1,3168,0.524526901680804,0.468970476308786,"B Cell (CD11c+ CXCR5-)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.0439200346411477,0.771532073927358
"6","event_type",11,3168,1.85477695809489,0.0405668967786548,"B Cell (CD11c+ CXCR5-)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.0504612618466194
"7","(Intercept)",1,3168,1.1654329654673,0.280423816237051,"B Cell (CD27+ non-switched memory)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.360470237375151,0.55006210108037
"8","trajectory_group",1,3168,0.406085973388933,0.524008873865345,"B Cell (CD27+ non-switched memory)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.0113299462720643,0.68524237351622
"9","sex",1,3168,3.72782125967423,0.0536022865929907,"B Cell (CD27+ non-switched memory)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.101248763564538
"10","discretized_admit_age_quantile",4,3168,2.64713593851722,0.031789799575062,"B Cell (CD27+ non-switched memory)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.047684699362593
"11","virus_positive",1,3168,0.0879804801910644,0.766779873399863,"B Cell (CD27+ non-switched memory)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",-0.0182210627182087,0.939312729033555
"12","event_type",11,3168,0.863527522680047,0.576019881685485,"B Cell (CD27+ non-switched memory)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.625042850339569
"13","(Intercept)",1,3168,4.27449538096708,0.0387694735789412,"B Cell (CD27+ switched memory)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.685533527877366,0.156877466666992
"14","trajectory_group",1,3168,0.0487126501758786,0.825332915055526,"B Cell (CD27+ switched memory)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.00390064405602411,0.894297261210512
"15","sex",1,3168,9.63497143278534,0.00192592223339294,"B Cell (CD27+ switched memory)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.00613887711894
"16","discretized_admit_age_quantile",4,3168,9.39579744638776,1.50856051428505e-07,"B Cell (CD27+ switched memory)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,5.49547044489554e-07
"17","virus_positive",1,3168,5.0891202123381,0.0241443322005743,"B Cell (CD27+ switched memory)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.137036738906238,0.123136094222929
"18","event_type",11,3168,3.00498864160529,0.0005400257067667,"B Cell (CD27+ switched memory)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.00081003856015005
"19","(Intercept)",1,3168,4.93198838941734,0.0264344335954286,"B Cell (CD71+ activated)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.684066442639955,0.122559646669715
"20","trajectory_group",1,3168,0.938751216762431,0.332673166277502,"B Cell (CD71+ activated)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.0157724008252102,0.547301015488793
"21","sex",1,3168,0.032333099655292,0.857310037700442,"B Cell (CD71+ activated)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.874456238454451
"22","discretized_admit_age_quantile",4,3168,3.43775612224603,0.00822435557525114,"B Cell (CD71+ activated)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.0144635218737175
"23","virus_positive",1,3168,6.41850988053976,0.0113415217067647,"B Cell (CD71+ activated)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.144014779683642,0.0723022008806251
"24","event_type",11,3168,3.23092915716367,0.000213434231433274,"B Cell (CD71+ activated)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.00032985290312415
"25","(Intercept)",1,3168,0.335735482220583,0.562342385937223,"B Cell (Plasmablast)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.169018348233221,0.763386872473623
"26","trajectory_group",1,3168,4.7078660174169,0.0300989989373688,"B Cell (Plasmablast)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.0336148546739157,0.0697749520820822
"27","sex",1,3168,3.37604762122558,0.06624411682819,"B Cell (Plasmablast)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.120658927079917
"28","discretized_admit_age_quantile",4,3168,2.48697031396965,0.041529532305757,"B Cell (Plasmablast)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.0580399455554937
"29","virus_positive",1,3168,42.1261409985577,9.89589521438461e-11,"B Cell (Plasmablast)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.348900091225973,5.04690655933615e-09
"30","event_type",11,3168,70.0423356714997,0,"B Cell (Plasmablast)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
"31","(Intercept)",1,3168,4.06514308134839,0.0438612242996869,"B Cell (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.640578283709101,0.15760351706671
"32","trajectory_group",1,3168,12.6541332903245,0.000380228005321781,"B Cell (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",0.0602445452655374,0.00138511630510077
"33","sex",1,3168,2.14889215148404,0.142772049142912,"B Cell (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0.220647712311773
"34","discretized_admit_age_quantile",4,3168,28.6469299875719,0,"B Cell (naive)","CyTOF","Human gammaherpesvirus 4 (EBV).pbmc","child",NA,0
